X,Y,TimeStamp(tracker),MilliSecTimer(system),ArrangedTime
2105.080838,1364.83218,61477536.17,417702.0172,31390.0172
2099.200831,1361.763668,61477566.4,417733.0473,31421.0473
2095.37489,1371.751902,61477596.28,417762.9193,31450.9193
2094.006139,1379.198881,61477626.66,417792.7782,31480.7782
1958.440959,1156.383556,61477656.81,417822.7224,31510.7224
1939.57879,1130.225512,61477687.05,417852.791,31540.791
1930.577232,1151.315539,61477717.57,417883.3288,31571.3288
1930.220668,1154.92184,61477747.6,417913.6962,31601.6962
1939.770668,1153.82695,61477777.64,417943.8643,31631.8643
1934.300704,1160.150443,61477807.97,417974.054,31662.054
1932.638628,1152.560983,61477838.08,418003.7905,31691.7905
1936.182245,1138.579712,61477868.25,418034.2385,31722.2385
1929.161114,1128.377878,61477898.43,418064.4993,31752.4993
1932.848351,1132.439274,61477928.75,418094.9073,31782.9073
1950.671907,1128.787125,61477959.03,418125.0491,31813.0491
1950.813299,1126.759205,61477988.85,418155.5032,31843.5032
1942.159223,1101.667506,61478018.99,418184.738,31872.738
1938.083724,1099.505575,61478049.48,418215.5929,31903.5929
1964.247404,1044.249303,61478079.34,418245.5892,31933.5892
2127.305759,793.5367967,61478109.91,418276.0969,31964.0969
2127.879882,779.8886547,61478140.03,418305.9659,31993.9659
2120.567773,740.9313617,61478170.22,418336.5063,32024.5063
2122.900936,728.6022682,61478200.57,418366.5842,32054.5842
2126.4905,741.4441766,61478230.35,418398.1241,32086.1241
2107.707575,815.8882865,61478260.36,418426.0973,32114.0973
1703.029587,1266.072482,61478380.74,418546.5405,32234.5405
2060.976303,879.2697986,61478412.25,418578.2791,32266.2791
2056.050477,868.9713477,61478441.71,418607.9476,32295.9476
2047.841284,865.1280805,61478472.34,418639.1263,32327.1263
2047.300371,855.0948639,61478502.54,418669.6246,32357.6246
2043.464449,848.5976174,61478532.73,418699.8892,32387.8892
2045.659392,862.8218721,61478562.71,418729.5633,32417.5633
2048.978003,875.9455259,61478593.58,418759.7164,32447.7164
2042.559044,875.7560548,61478623.62,418789.3391,32477.3391
2040.593883,874.1616271,61478653.64,418819.9715,32507.9715
2129.35509,1023.240176,61478683.63,418849.721,32537.721
2158.657495,1079.646511,61478713.97,418881.337,32569.337
2151.601,1073.14215,61478744.47,418912.1817,32600.1817
2157.655166,1074.407253,61478774.58,418940.8225,32628.8225
2160.402075,1075.791634,61478804.69,418970.5888,32658.5888
2158.209752,1085.169226,61478835.12,419001.4928,32689.4928
2156.931187,1080.57841,61478864.92,419030.8396,32718.8396
2157.385281,1075.487272,61478895.67,419063.4915,32751.4915
2125.8514,1091.712783,61478925.57,419091.3845,32779.3845
1984.492609,1208.751862,61478961.75,419127.6289,32815.6289
1990.541571,1219.536915,61478985.86,419151.6343,32839.6343
2005.496495,1245.021042,61479016.37,419182.7457,32870.7457
1994.444916,1240.983446,61479046.36,419213.3147,32901.3147
1995.565006,1236.796925,61479076.47,419242.3561,32930.3561
1991.546377,1238.530378,61479106.57,419272.3389,32960.3389
1993.187846,1243.819954,61479137,419303.3956,32991.3956
1991.742314,1242.280033,61479167.25,419334.7334,33022.7334
1992.514381,1244.336253,61479197.59,419363.3783,33051.3783
2138.140223,1272.595454,61479227.54,419393.5323,33081.5323
2145.835659,1264.884497,61479257.67,419423.4597,33111.4597
2144.678029,1274.593558,61479287.55,419453.5434,33141.5434
2145.116279,1268.817411,61479318.08,419484.7467,33172.7467
2146.022269,1268.654749,61479348.35,419514.6206,33202.6206
2150.361674,1278.989015,61479378.49,419544.7197,33232.7197
2149.925343,1278.18471,61479408.41,419575.0869,33263.0869
2124.98292,1266.079088,61479439.2,419606.8212,33294.8212
2129.111102,1282.149239,61479469.38,419635.5567,33323.5567
2119.384132,1286.473565,61479499.5,419665.3998,33353.3998
2080.325549,1264.201724,61479529.61,419695.7156,33383.7156
2023.606636,1223.285193,61479559.94,419726.3166,33414.3166
1953.018612,1165.478038,61479590.13,419755.9525,33443.9525
1954.605999,1161.065073,61479620.23,419786.1013,33474.1013
1961.673142,1157.431691,61479650.69,419816.666,33504.666
1972.617197,1169.238636,61479680.43,419846.3903,33534.3903
1967.021569,1174.218226,61479710.61,419876.6437,33564.6437
1967.426017,1176.411163,61479740.86,419907.0461,33595.0461
1962.061222,1173.353804,61479770.94,419936.7722,33624.7722
1967.211294,1167.86252,61479801.15,419966.8595,33654.8595
1985.440228,1176.298477,61479831.13,419996.8927,33684.8927
2038.018079,1158.771609,61479862.15,420028.1543,33716.1543
2120.26798,1097.850211,61479892.19,420058.0211,33746.0211
2164.21511,1052.619748,61479922.63,420088.3734,33776.3734
2165.26198,1057.921033,61479952.6,420118.4023,33806.4023
2171.477015,1055.842582,61479982.91,420148.8185,33836.8185
2165.753784,1054.153278,61480013.24,420179.5848,33867.5848
2158.929463,1056.01789,61480043.48,420209.7749,33897.7749
2162.985096,1042.703579,61480073.6,420239.489,33927.489
2161.639793,1047.793469,61480104.41,420270.5521,33958.5521
2162.182581,1046.818524,61480133.49,420299.7954,33987.7954
2162.74754,1047.083475,61480163.46,420329.8104,34017.8104
1964.636962,991.726856,61480193.94,420359.66,34047.66
1958.394129,1010.232546,61480224.63,420390.956,34078.956
1961.009751,1002.875119,61480255.07,420421.5847,34109.5847
1963.491137,1006.93264,61480283.57,420449.8763,34137.8763
1952.497829,935.0082046,61480314.42,420480.7121,34168.7121
1945.441053,902.2651912,61480344.88,420510.8035,34198.8035
1941.36098,923.2454883,61480373.93,420540.2961,34228.2961
1965.512231,1039.472151,61480404.09,420569.9518,34257.9518
2154.305651,1082.526092,61481007.99,421174.43,34862.43
2108.710204,1059.275259,61481038.78,421205.2279,34893.2279
2139.863166,1075.623296,61481068.89,421235.0829,34923.0829
2139.938076,1064.24732,61481099.4,421265.4928,34953.4928
2131.495517,1083.802787,61481129.74,421295.9422,34983.9422
2133.922582,1105.096987,61481160.08,421327.7032,35015.7032
2095.98251,1136.75068,61481190.13,421355.9664,35043.9664
1993.322155,1147.815995,61481220.71,421387.6345,35075.6345
1934.981688,1175.443273,61481250.39,421417.4746,35105.4746
1941.272962,1158.360575,61481280.5,421446.8255,35134.8255
1943.942102,1107.986765,61481311.32,421477.4785,35165.4785
1988.465163,1116.270137,61481341.66,421509.491,35197.491
2011.585442,1090.377937,61481370.54,421536.4394,35224.4394
2044.787277,1031.49329,61481400.57,421566.247,35254.247
2121.878414,1243.801836,61481612.91,421778.9835,35466.9835
2081.430429,1099.03923,61481643.26,421808.9302,35496.9302
1966.014096,1206.513479,61481672.38,421838.547,35526.547
2044.481526,1282.990241,61481703.4,421869.3536,35557.3536
2022.120236,1289.872509,61481734.55,421900.2711,35588.2711
2081.893063,1284.603919,61481764.53,421930.5018,35618.5018
2131.192789,1412.58106,61481794.81,421960.6401,35648.6401
2157.379519,1339.401426,61481824.48,421990.1283,35678.1283
2098.03989,1380.32633,61481855.26,422021.3204,35709.3204
2102.063993,1338.315477,61481884.42,422050.6424,35738.6424
1959.967158,1468.492569,61481915.51,422081.4919,35769.4919
1995.094332,1486.331357,61481945.9,422112.4364,35800.4364
2063.710029,1444.654314,61481976.29,422148.1033,35836.1033
2067.36797,1460.385829,61482006.51,422172.8612,35860.8612
2074.815904,1431.070358,61482035.95,422201.7315,35889.7315
2206.709818,1456.458751,61482066.38,422232.2435,35920.2435
2269.122793,1396.590041,61482096.52,422262.389,35950.389
2252.964537,1348.145263,61482126.11,422292.7459,35980.7459
2118.007097,1271.645738,61482158.57,422329.396,36017.396
2149.522034,1241.891294,61482187.31,422353.2056,36041.2056
2054.223437,1264.857867,61482217.76,422383.8955,36071.8955
2018.834008,1237.214918,61482246.91,422412.73,36100.73
2077.218791,1120.07238,61482488.97,422654.8966,36342.8966
2026.994602,1157.63141,61482519.32,422685.2424,36373.2424
2026.654622,1131.855703,61482550.97,422718.1645,36406.1645
2026.325142,1100.426118,61482580.22,422747.1029,36435.1029
2055.828571,1056.372672,61482610.47,422776.3466,36464.3466
2054.046343,1047.593931,61482640.76,422806.7743,36494.7743
2058.292567,1132.08748,61482671.16,422837.0401,36525.0401
2041.08767,1141.442165,61482701.65,422867.8053,36555.8053
2039.281895,1143.632011,61482731.84,422897.9447,36585.9447
2034.921967,1135.17471,61482761.84,422927.8912,36615.8912
2023.466424,1146.21257,61482792.28,422958.9332,36646.9332
2028.967225,1157.016351,61482822.44,422989.9018,36677.9018
2043.138051,1176.979563,61482852.29,423018.2304,36706.2304
2025.909576,1172.910111,61482882.8,423048.9579,36736.9579
1971.090788,1123.660567,61482913.02,423079.1605,36767.1605
1815.598729,1043.407513,61482942.24,423109.17,36797.17
1043.499795,776.2432343,61482972.29,423138.0386,36826.0386
951.686869,773.1946068,61483003.26,423169.4792,36857.4792
945.8801647,826.0489222,61483033.44,423199.7171,36887.7171
970.0605489,831.070359,61483063.21,423229.2713,36917.2713
973.7071022,851.2360101,61483097.32,423263.1417,36951.1417
966.7757143,843.1881268,61483122.61,423288.8218,36976.8218
2021.408334,1007.058927,61483485.98,423652.2898,37340.2898
1988.958882,1054.452908,61483516.2,423682.2596,37370.2596
1994.502431,1051.166227,61483546.28,423712.2956,37400.2956
1989.670569,1053.207466,61483577.4,423743.2088,37431.2088
1985.268259,1065.927889,61483607.15,423773.3399,37461.3399
1976.320106,1090.185696,61483637.48,423803.9165,37491.9165
1979.325307,1069.244264,61483668.26,423834.719,37522.719
1975.060132,1068.055547,61483698.05,423864.4185,37552.4185
1968.18859,1049.847377,61483727.95,423893.8289,37581.8289
1966.883413,1053.12762,61483758.52,423924.5535,37612.5535
2158.365567,1122.373569,61483789.13,423954.9454,37642.9454
2206.166401,1137.362619,61483819.25,423985.5204,37673.5204
2222.8581,1130.060882,61483849.39,424015.9034,37703.9034
2239.699725,1128.574831,61483879.83,424047.3479,37735.3479
2234.626708,1151.795031,61483909.71,424075.5344,37763.5344
2234.470003,1149.766167,61483943.78,424109.7029,37797.7029
2250.228232,1117.074317,61483970.08,424135.7362,37823.7362
2242.63681,1100.950783,61484000.19,424166.1144,37854.1144
2240.013836,1099.844124,61484029.02,424194.9791,37882.9791
2216.159876,1121.985264,61484062.03,424227.9578,37915.9578
2219.723918,1174.616282,61484089.37,424255.3593,37943.3593
2250.897873,1214.660031,61484119.26,424285.254,37973.254
2222.481083,1261.943846,61484149.98,424318.0468,38006.0468
1753.157976,1244.181526,61484421.81,424588.9231,38276.9231
2150.680326,1176.494977,61484453.03,424619.4786,38307.4786
2171.549368,1100.254008,61484483.58,424649.3044,38337.3044
2173.532202,1073.129318,61484514.44,424680.5556,38368.5556
2154.35314,1093.071045,61484544.31,424710.0941,38398.0941
2132.910824,1120.125411,61484578.57,424744.2736,38432.2736
2134.772777,1103.964462,61484605.21,424771.4103,38459.4103
2134.608839,1105.473134,61484635.36,424801.9781,38489.9781
2152.566455,1102.957781,61484665.35,424831.687,38519.687
2152.484122,1104.671076,61484695.68,424861.6261,38549.6261
2126.994523,1108.023892,61484725.71,424892.2723,38580.2723
2126.658013,1123.979639,61484755.79,424921.6158,38609.6158
2117.813536,1120.094636,61484785.87,424951.7784,38639.7784
