timestamp, action_unit_list, facial_expression
6.073,"[6, 7, 10, 12, 14, 25]",Happy
6.106,"[6, 7, 10, 12, 14, 25]",Happy
6.139,"[6, 7, 10, 12, 14, 25]",Happy
6.173,"[6, 7, 10, 12, 14, 25]",Happy
6.206,"[6, 7, 10, 12, 14, 25]",Happy
6.24,"[6, 7, 10, 12, 14, 25]",Happy
6.273,"[6, 7, 10, 12, 14, 25]",Happy
6.306,"[6, 7, 10, 12, 14, 25]",Happy
6.34,"[6, 7, 10, 12, 14, 25]",Happy
6.373,"[6, 7, 10, 12, 14, 25]",Happy
6.406,"[6, 7, 10, 12, 14, 25]",Happy
6.44,"[6, 7, 10, 12, 14, 25]",Happy
6.473,"[6, 7, 10, 12, 14, 25]",Happy
6.507,"[6, 7, 10, 12, 14, 25]",Happy
6.54,"[6, 7, 10, 12, 14, 25]",Happy
6.573,"[6, 7, 10, 12, 14, 25]",Happy
6.607,"[6, 7, 10, 12, 14, 25]",Happy
6.64,"[6, 7, 10, 12, 14, 25]",Happy
6.673,"[6, 7, 10, 12, 14, 25]",Happy
6.707,"[6, 7, 10, 12, 14, 25]",Happy
6.74,"[6, 7, 10, 12, 14, 25]",Happy
6.773,"[6, 7, 10, 12, 14, 25]",Happy
6.807,"[6, 7, 10, 12, 14, 25]",Happy
6.84,"[6, 7, 10, 12, 14, 25]",Happy
6.874,"[6, 7, 10, 12, 14, 25]",Happy
6.907,"[6, 7, 10, 12, 14, 25]",Happy
6.94,"[6, 7, 10, 12, 14, 25]",Happy
6.974,"[6, 7, 10, 12, 14, 25]",Happy
7.007,"[6, 7, 10, 12, 14, 25]",Happy
7.04,"[6, 7, 10, 12, 14, 25]",Happy
7.074,"[6, 7, 10, 12, 14, 25]",Happy
7.107,"[6, 7, 10, 12, 14, 25]",Happy
7.14,"[6, 7, 10, 12, 14, 25]",Happy
7.174,"[6, 7, 10, 12, 14, 25]",Happy
7.207,"[6, 7, 10, 12, 14, 25]",Happy
7.241,"[6, 7, 10, 12, 14, 25]",Happy
7.274,"[6, 7, 10, 12, 14, 25]",Happy
7.307,"[6, 7, 10, 12, 14, 25]",Happy
7.341,"[6, 7, 10, 12, 14, 25]",Happy
7.374,"[6, 7, 10, 12, 14, 25]",Happy
7.407,"[6, 7, 10, 12, 14, 25]",Happy
7.441,"[6, 7, 10, 12, 14, 25]",Happy
7.474,"[6, 7, 10, 12, 14, 25]",Happy
7.508,"[6, 7, 10, 12, 14, 25]",Happy
7.541,"[6, 7, 10, 12, 14, 25]",Happy
7.574,"[6, 7, 10, 12, 14, 23, 25]",Happy
7.608,"[6, 7, 10, 12, 14, 23, 25]",Happy
